2024-10-14 13:34:16,user,ls
2024-10-14 13:34:26,user,ls
2024-10-14 13:38:11,user,ls
2024-10-14 13:38:13,user,ls
2024-10-14 13:41:41,user,ls
2024-10-14 13:46:16,user,ls
2024-10-14 13:46:17,user,cd vfs
2024-10-14 13:46:18,user,ls
2024-10-14 13:46:20,user,cd home
2024-10-14 13:46:20,user,ls
2024-10-14 13:46:22,user,cd user
2024-10-14 13:46:23,user,ls
2024-10-14 13:46:46,user,cd ..
2024-10-14 13:46:48,user,ls
2024-10-14 13:46:49,user,cd ..
2024-10-14 13:46:49,user,ls
2024-10-14 13:47:02,user,find test_file.txt
2024-10-14 13:47:54,user,ls
2024-10-14 13:47:57,user,cd home/user
2024-10-14 13:47:57,user,ls
2024-10-14 13:48:47,user,rm test_file.txt
2024-10-14 13:48:49,user,ls
2024-10-14 13:49:24,user,exit
